,tweet_id,label,text
0,850490912954350976,1,alex brosas another idiot
1,848791766853667968,1,nancy reagan would say say fucking something like
2,850433664890544000,1,hate er chase bitch work shes literally evil
3,850411934205844992,1,sick bitch internet
4,850100742035836032,1,pineapple belong pizza yall nigga nasty
5,849282894682050048,1,still shit started smoking drinking bad combo probably looking like
6,848491429517294976,1,april fool fucking aint feeling rigor mortis dummy
7,850455815001522048,1,fucking pencil
8,847534226413105024,1,access money fucking pissing
9,847804507367100032,1,nigga keep talking woman wearing weave sick bitch fro as ðÿ
10,849562231129992960,1,god youre fucking pathetic
11,847851483571814016,1,worried somebody bein ugly bitch ugly
12,848668638869671040,1,damn dean put corbin sleep match also showed pre show boring fuck
13,848638037231906048,1,hate ol forgot wallet home id as bitch
14,850090319165049984,1,idiot thats gonna work gotta put flame sticker make go faster
15,848610228967010048,1,want cry fucking bad look
16,848455845021196032,1,one as extended april fool pray someone say bad joke
17,849054770694434048,1,disgusting insulting park charity give fucking budget asshole
18,847803697857953024,1,dont hate people put salt bag dick even trying
19,848960621127270016,1,nigga dont lie ugly friend put pic gon write nigga u ugly
20,849337999431273984,1,dont sleep dont speak never talk bad bout nigga eat
21,848901053634546944,1,grassley damn liar amp saying everything stupid supporter repubs gullibleâ
22,848958729513053952,1,person telling sugar tea u actually fucking mad
23,848686686930381952,1,bruh fucking hate people like ðÿ
24,848999561066663040,1,unfollowing bad bitch ig follow jiggy as asian
25,849966683662032000,1,u still rocking team btw nani fucking sick tried
26,848652738267405952,1,system dont allow change email address hell built idiot
27,849797741312179968,1,holy crap biggest assclown mayor pulling race card get as outta office
28,850720957941547008,1,repeat bloody hell happening ðÿˆðÿ
29,850071247673150976,1,im fucking sick seeing damn tweet
30,847652946217009024,1,another dumbass bronco fan swear hate fanbase dawg ðÿ
31,848712276408512000,1,looking like bad as bitch
32,848338236770582016,0,dick tracy meet gruesome 2017 reboot
33,848337741813357952,1,fuck sake go away stupid anon â
34,850131301713793024,1,someone sum call guy retarded
35,847542736651767040,1,idiot called antacid afterburner
36,850822304892419968,1,swear every person voted truðÿ fucking moron
37,848208045553437952,1,im sick ðÿ sick hoe ðÿðÿ¾ââï
38,850354807772786048,1,youre idiot cause dont care youre talking
39,848773425136934016,1,yooooo van got sick as velvet oxblood slip onnnnssssss ðÿðÿðÿðÿðÿðÿðÿðÿ
40,848677539186978048,1,fucking stupid dude
41,849203190314684032,1,beer buying freaking idiot think trump leaked nail rice kidding sacrifice flynn mud appropo
42,848993277986701056,1,bout get butt fucked
43,847529042261703936,1,fucking teaser tho ahhhhhh
44,848554797049421056,1,go bat hell wrong people also ily
45,848738847307350016,1,said aint gonna another 45 fucking minute
46,849013733623975040,1,know happens people trust pathological liar get fucked repeatedly
47,850545619274013952,1,police hold anoda police ask officer weytin reply idiot pi oda say hold idiot makâ
48,849367976138727040,1,ðÿ lmfaoooooooooooooooo pathetic as bitch
49,850356342900445056,1,lmfao must suck hemet never seeing real bad bitch walk ya city unless internet ðÿðÿðÿðÿ
50,848642839701597952,1,hate hoe as braid ðÿðÿœðÿ¾
51,850451327129985024,1,there tumblr post fucking bad production show made cry laughing find
52,849902645024136960,1,hate bitch dont know mind business
53,848989217921409024,1,ðÿ yk hoe ugly si ðÿðÿ½ââï
54,849922895132459008,1,dont take anger hairless nigga u
55,847663964657859968,1,bloody splicer sealed johnny goddamn splicer
56,849327505312025984,1,miss yo ugly sid sloth dur yes dur saying as
57,849711858751868032,1,hopefully father mother tell daughghters ben dover friend evil cunt
58,848749681211568000,1,sisim fuckin sick im done 11
59,849812975007431936,1,fuck die oral history something awful
60,847925424965505024,1,hate watching interview amp hear like fucking million time
61,848741150005570944,1,sad see sasha gone went way bad didnt get bite as hole negan
62,847434456524902016,1,fucking ugly
63,849570103842689024,1,court duncan fucking miserable tonight
64,850054621447896960,1,one thing hate springsummer bloody bird waking 6am like world war 3 thereðÿƒ
65,848681938986651008,1,fucking god dont die backflips like cruiserweight prime 47 ðÿ³ðÿ³
66,850208195909885056,1,im moving texas bad bitch
67,850163392337763968,1,someone told didnt like owlshow fucking dare face ever make sound word terrible youâ
68,848039367448940032,1,thats u fucking get pushing dog
69,850015966750806016,1,there difference marketing fucking annoying
70,849173893122280960,1,amp idiot country think regime working bring uniform civil code let bring uniform beef consuâ
71,848594131257576960,1,would dnc knew hell bad saying hurt feeling trump gotta go
72,848129633061133952,1,namjoon ugly bitch
73,849751289399565952,1,see traded letang he always hurt idiot
74,849059623504051968,1,wtf got juicy omg fuckin bos husband ðÿðÿðÿ
75,850509426616221056,1,im emo abt nuest fuckin hate pledis
76,847811708995480960,1,hate people get tell happening tv show movie shut yo as ðÿ
77,850741375817601024,1,whats happening syria disgusting never gave 2 shit issue noâ
78,849760592332114944,1,hella bayand majority la bitch hate word hella ðÿðÿ
79,849771698870254976,1,oh yes bad guy damn sickening
80,849294349326322944,1,idiot cosas speaking think hate speech come speech doesnt stop
81,847940566386125952,1,im baffled disgusted raised bitch mann ðÿðÿ
82,848524862305860992,1,tht hate place even tho dont like hate ppl havent done anything bullshit tht happened
83,847842755221090048,1,schumer filibuster gorsuch idiotic lunch alert
84,850402564143229952,1,nasty as eating food
85,849167274485334016,1,fucking butn scar chest ugly cant even wear shirt without zipped way scarf
86,847661490001726976,1,mf fucked alll time ðÿðÿ½ââï
87,849007014353281024,1,thats ugly as house paying 5mil
88,848564053874269952,1,know youre fucking stupid get one question math correct think ur albert fucking einstein tâ
89,847652610655928064,1,watching annoying as man make want never eat another pizza tlc
90,849159519225752960,1,block he fucking dreadful
91,847637754422770944,1,always filthy bitch come picture ðÿðÿ½ââï
92,850570969634754048,0,worry time nazi turn away might bad fear beâ
93,848997472273936000,1,nigga worst side bitch always questioning position
94,850143624574763008,1,shit fire boyyyyyyy
95,848526573594710016,1,1st rep find gut stand idiot wh
96,849365027547164032,1,fucking legend mate ball steel
97,848684635953307008,1,count 13 idiotðÿ
98,850758949947232000,1,omg cant believe someone would wish anyone never mind baby sick bitch
99,849800505366904064,1,head nasty thought vagina ðÿ
100,847696457930989056,1,retarded penguin retweeted
101,847788602587312000,1,let known hate fucking team leader
102,850179691386248960,1,dude bombed syria idiot
103,847652971361869056,1,quit fucking spamming crap dont work
104,849960731965619968,1,ive told missus lad say nein dankethey hate kraut piss
105,847936518899585024,1,sander said im sick talking damned email
106,850199727593238016,1,r u dump u r stupid idiot
107,848464376235520000,1,pip idiot need tell truth didnt realise
108,848348672169577984,1,rick james fucking hated prince pledged allegiance doesnt keep appreciating james eccentricity
109,847432833324809984,1,fucking hate
110,849659786463334016,1,son nigga worst
111,848377839384760064,1,fucking go fucking heel
112,848877670389755008,1,amp torus idiot taking time
113,849487354414980992,1,suck fuckin burrito filthy taco bender
114,848995647780827008,1,bunch as clown bad illegitimate pres got stuck leader b news
115,847930068055710976,1,gotta make freshman year everyone retarded
116,847757170464571008,1,want gordon ramsay call idiot sandwich
117,847885285467836032,1,fuck u ur 4g network today worst 2g networkðÿœðÿœðÿœ
118,850793087391612032,1,recorded video look stupid hell lmaoo
119,848759395215265024,1,might pull wit yo bitch make nigga sick
120,847502739768654976,1,fucking know like wtf
121,850508440938139008,1,way word idiot
122,848722896390425984,1,stupid bc rus done 40 fuckin time
123,849416604915990016,1,demarco murray sick af ðÿ fuckin trader
124,849505452824162048,1,fucking windscreen fucking frozen fucking april cunt
125,848835601529024000,1,hell wrong jnu type know distract time focus study
126,850533292201922048,1,im watching gm interview fuck gone
127,850761437156962048,1,bite arse stupid thing
128,848776197588884992,1,ugly bad built as bitch wouldve slapped tf
129,849293791462912000,1,would brainless retard claim father hurry dieâââââââ
130,848941658682998016,1,im bad bitch hoe u cant kill
131,847498662905307008,1,line dont take order fucking woman
132,849032238872132992,0,woman claim dont get wifed arent hoe bad dude claim theyre overlooked bc theâ
133,850445232789486976,1,jap battle explicit crazy exgirlfriend awe snap scarsdale
134,849355590354776064,1,cuz money keep runnin like forest gump ðÿðÿƒðÿ¾i got nigga hate like im donald trump
135,850194514073366016,1,hate girl man notification tweet bitch found ðÿ
136,850217104590594048,1,swear people fucking ignorant annoying
137,849310707107627008,1,hacked stop leaving twitter 2 fucking school idiot
138,847681656198619008,1,titanfall 2 saltball grapple ronin music iniquity via shit sick dude
139,849921326450068992,1,call horrific fact asshole got gored fact bullfighting amp torturing animal like thisâ
140,848914127288455040,1,bloody hell havent size 4 since 15 uni done
141,848718962112290048,1,holy fuck jist throw michonne michonne dy riot
142,850014813292032000,1,need apologize people retarded see message positivity trying unite u
143,850452866422754944,0,spot fucking know âïthank blueq
144,850211169662935040,1,im fucking pissed hate trump wanted ww3
145,848678877174148992,1,ugly slut bushy clam gangbanged brutally
146,848729850533826048,0,ill lame dont even twitter know ðÿ grown as woman ðÿ
